Age,Gender,Exercise Level,Diet Type,Sleep Hours,Work Hours per Week,Screen Time per Day (Hours),Social Interaction Score,Happiness Score,Stress Level
48,Male,Low,Vegetarian,6.3,21,4.0,7.8,6.5,Low
31,Male,Moderate,Vegan,4.9,48,5.2,8.2,6.8,Low
37,Female,Low,Vegetarian,7.2,43,4.7,9.6,9.7,High
35,Male,Low,Vegan,7.2,43,2.2,8.2,6.6,Low
46,Male,Low,Balanced,7.3,35,3.6,4.7,4.4,Low
23,Other,Moderate,Balanced,2.7,50,3.3,8.4,7.2,Moderate
49,Male,Moderate,Junk Food,6.6,28,7.2,5.6,6.9,Low
46,Other,Low,Vegetarian,6.3,46,5.6,3.5,1.1,High
60,Male,High,Vegetarian,4.7,33,6.6,3.7,5.2,Low
19,Female,Moderate,Vegan,3.3,44,7.7,3.0,7.7,Low
40,Male,Moderate,Balanced,6.3,41,5.9,2.3,5.5,Low
36,Male,Low,Vegan,8.1,54,7.9,2.7,8.0,Low
48,Male,High,Balanced,2.6,52,3.9,1.6,5.1,Moderate
22,Other,Low,Vegan,5.3,46,3.1,9.0,9.8,High
36,Female,Moderate,Balanced,6.7,59,4.4,9.4,3.6,High
51,Male,Moderate,Vegan,8.2,45,4.8,6.3,1.8,Low
27,Other,Low,Balanced,6.0,38,7.4,8.6,4.9,Low
42,Female,Low,Vegan,9.4,58,5.4,2.7,5.9,Moderate
19,Other,High,Vegetarian,3.8,45,3.8,9.1,4.1,Low
28,Other,High,Junk Food,3.5,25,6.5,5.6,3.2,Moderate
48,Female,Moderate,Vegan,8.0,22,5.0,1.6,7.0,High
32,Male,High,Junk Food,3.0,25,3.0,2.3,4.4,High
26,Other,High,Vegetarian,7.2,47,5.5,3.8,6.7,Moderate
40,Other,Moderate,Vegetarian,6.1,22,7.5,1.4,8.0,High
36,Male,Moderate,Balanced,5.1,32,7.1,3.8,7.8,Low
26,Male,Moderate,Junk Food,5.9,32,5.5,1.5,4.4,Low
52,Female,Moderate,Keto,4.6,32,4.3,3.1,6.1,Moderate
38,Female,Low,Balanced,6.0,20,2.5,3.4,5.0,High
26,Female,Moderate,Junk Food,6.5,59,4.8,9.9,8.8,High
45,Male,Moderate,Vegan,5.9,56,6.5,3.1,8.9,Moderate
63,Other,Moderate,Vegan,5.6,50,4.2,3.2,4.1,Moderate
24,Other,High,Vegetarian,6.9,36,3.4,7.2,1.8,High
33,Female,Moderate,Keto,9.0,28,7.6,8.7,2.5,Moderate
33,Male,Low,Vegan,6.1,32,6.9,4.5,4.3,Low
50,Other,Low,Junk Food,7.7,56,5.8,8.9,6.1,High
21,Female,Moderate,Junk Food,5.1,33,2.8,4.1,6.9,Moderate
21,Other,Low,Vegan,4.5,30,2.9,2.8,4.0,Moderate
56,Other,High,Junk Food,7.2,44,2.6,4.0,7.0,Moderate
57,Male,Moderate,Junk Food,6.1,50,5.7,6.5,9.4,High
34,Male,Low,Vegetarian,8.2,33,2.7,4.3,6.9,Low
54,Other,Low,Keto,8.5,26,7.1,7.1,2.4,Low
56,Female,Moderate,Vegetarian,7.8,43,8.0,3.1,6.2,High
46,Male,Low,Keto,7.7,55,4.2,7.3,5.9,Moderate
53,Other,Moderate,Junk Food,1.4,22,4.7,4.1,8.8,High
55,Male,Low,Keto,7.2,45,6.3,5.1,4.2,High
56,Male,High,Junk Food,7.8,45,7.6,6.0,4.8,Moderate
54,Male,Low,Junk Food,4.6,20,7.4,7.2,6.4,High
52,Other,Low,Vegetarian,6.5,34,2.3,3.1,5.7,Low
24,Female,Moderate,Vegetarian,4.9,30,3.0,8.5,7.5,High
