Threshold,Accuracy,Precision,Recall,F1,Balanced Accuracy
0.1,0.9215,0.9215,1.0,0.9591,0.5
0.15,0.9215,0.9215,1.0,0.9591,0.5
0.2,0.9215,0.9215,1.0,0.9591,0.5
0.25,0.9215,0.9215,1.0,0.9591,0.5
0.3,0.9215,0.9215,1.0,0.9591,0.5
0.35,0.9215,0.9215,1.0,0.9591,0.5
0.4,0.9095,0.9223,0.9848,0.9525,0.5051
0.45,0.8465,0.9295,0.9018,0.9155,0.5496
0.5,0.6635,0.9405,0.6777,0.7878,0.5873
0.55,0.41,0.951,0.3793,0.5423,0.575
0.6,0.1715,0.9471,0.1069,0.1921,0.5184
0.65,0.0885,1.0,0.0109,0.0215,0.5054
0.7,0.0785,0.0,0.0,0.0,0.5
0.75,0.0785,0.0,0.0,0.0,0.5
0.8,0.0785,0.0,0.0,0.0,0.5
0.85,0.0785,0.0,0.0,0.0,0.5
0.9,0.0785,0.0,0.0,0.0,0.5
